Cluster	Sample_Count	Samples	Has_PopPIPE_Data
1	76	ERS013360;GCA_963570025_1;SRR12527871_contigs;IP-0048;IP-0162;ERS012330;ERS013358;GCA_963573135_1;IE-0012;IE-0014;IP-0127;IP-0029;IP-0077;GCA_963571365_1;GCA_963565485_1;IP-0044;IP-0133;ERS012303;IP-0196;IP-0135;IE-0006;GCF_001326955_2_Malaysia;GCA_963561925_1;ERS012365;GCA_963566475_1;GCF_025847415_1_Viet_Nam;IP-0040;IP-0159;GCA_963573175_1;IP-0195;ERS012316;GCA_963562615_1;ERS013346;ERS012369;GCA_963569365_1;IP-0181;GCA_963561245_1;IP-0187;GCA_963561915_1;ERS013355;ERS012377;IP-0055;IP-0119;IP-0153;IP-0168;IP-0034;GCA_963563155_1;GCF_001207785_2_Malaysia;ERS012362;ERS012331;IP-0038;ERS012309;GCA_963569785_1;GCA_963571055_1;GCA_963571495_1;IP-0115;IP-0116;IP-0171;GCA_963561855_1;IP-0180;IP-0094;IP-0129;GCA_963571905_1;IP-0118;ERS012328;GCA_963567325_1;GCA_963563065_1;IE-0007;GCA_963562655_1;IP-0097;GCA_963564785_1;GCA_963571975_1;IE-0024;IP-0008;IP-0039;IP-0003	True
10	9	IP-0151;IP-0193;IP-0200;IP-0050;IP-0101;IP-0201;IP-0107;IP-0051;GCA_963563735_1	True
11	8	GCA_963569685_1;IP-0137;IP-0111;IP-0188;IP-0076;GCA_963561355_1;IP-0088;GCA_963566085_1	True
114	15	GCF_900591545_1_Thailand;GCF_900595835_1_Thailand;GCF_900595875_1_Thailand;GCA_963566735_1;GCA_963565205_1;GCA_963567965_1;GCF_900592225_1_Thailand;GCA_963564165_1;GCA_963564145_1;GCF_001977465_1_Thailand_Ubon;GCF_900594115_1_Thailand;GCA_963561965_1;GCF_900593195_1_Thailand;GCA_963571885_1;GCA_963568235_1	True
117	59	GCF_900592275_1_Thailand;GCF_900595725_1_Thailand;GCF_028620325_1_missing;GCF_900593225_1_Thailand;GCF_028620365_1_missing;GCF_900595815_1_Thailand;GCF_009904425_1_Thailand_Ubon;GCF_900594305_1_Thailand;GCF_900595695_1_Thailand;GCF_001977915_1_Thailand_Ubon;GCF_900595665_1_Thailand;GCF_900595775_1_Thailand;GCF_900595805_1_Thailand;GCF_900595745_1_Thailand;GCF_900595845_1_Thailand;GCA_900595655_2;GCF_001977945_1_Thailand_Ubon;GCF_900592905_1_Thailand;GCF_900594625_1_Thailand;GCA_963571345_1;GCF_000954175_1_Taiwan_Kaohsiung_Veterans_General_Hospital_Kaohsiung;GCF_001981025_1_Thailand;GCF_009904395_1_Thailand_Ubon;GCF_900593295_1_Thailand;GCF_900594335_1_Thailand;GCF_900594145_1_Thailand;GCF_900594615_1_Thailand;GCA_963564585_1;GCA_963563925_1;GCF_900594695_1_Thailand;GCF_900595735_1_Thailand;GCF_900592685_1_Thailand;GCA_963571785_1;GCF_002881115_1_Thailand;GCA_900595795_2;GCA_963566105_1;GCA_963566545_1;GCF_900591225_1_Thailand;GCF_900594605_1_Thailand;GCF_009904385_1_Thailand_Ubon;GCA_900597285_2;GCF_001977785_1_Thailand_Ubon;GCF_900594565_1_Thailand;GCF_900595705_1_Thailand;GCF_900595795_2_Thailand;GCF_009904475_1_Thailand_Ubon;GCF_001977005_1_Thailand_Ubon;GCF_001977735_1_Thailand_Ubon;GCA_963565795_1;GCF_900597285_2_Thailand;GCF_900594045_1_Thailand;GCF_900593565_1_Thailand;GCF_900595715_1_Thailand;GCF_013371825_1_China_Hainan;GCF_900592305_1_Thailand;GCF_900595655_2_Thailand;GCF_900595755_1_Thailand;GCF_009904455_1_Thailand_Ubon;GCA_963568985_1	True
11_115	69	GCF_900591305_1_Thailand;GCA_963571715_1;GCA_963566215_1;GCF_900594935_1_Thailand;GCF_900594955_1_Thailand;GCA_963564675_1;GCF_001976335_1_Thailand;GCF_900593095_1_Thailand;GCF_900594925_1_Thailand;GCF_001637015_1_unknown;GCA_963567675_1;GCF_900592825_1_Thailand;GCA_963564845_1;GCF_900594895_1_Thailand;GCF_900593425_1_Thailand;GCF_900597035_1_Thailand;GCA_963571755_1;GCF_900596995_1_Thailand;GCF_900597965_1_Thailand;GCF_900594945_1_Thailand;GCA_963561365_1;GCF_900594975_1_Thailand;GCF_900597025_1_Thailand;GCF_900594875_2_Thailand;GCF_900597935_1_Thailand;GCF_900598775_1_Thailand;GCF_900592525_1_Thailand;GCA_963572985_1;GCA_963566585_1;GCF_900594295_1_Thailand;GCF_900593805_1_Thailand;GCF_900597075_1_Thailand;GCA_963568945_1;GCF_900591395_1_Thailand;GCF_001980995_1_Thailand;GCF_900593185_1_Thailand;GCA_963562285_1;GCA_963567855_1;GCF_900591775_1_Thailand;GCF_900591765_1_Thailand;GCA_963566165_1;GCF_900597915_1_Thailand;GCF_900593595_1_Thailand;GCA_963569905_1;GCA_963563685_1;GCF_900594915_1_Thailand;GCA_963572435_1;GCA_963572605_1;GCA_963562645_1;GCF_900594215_1_Thailand;GCF_900593785_1_Thailand;GCA_900594875_2;GCF_900592505_1_Thailand;GCF_900597005_1_Thailand;GCF_900597085_1_Thailand;GCF_900597955_1_Thailand;GCA_963566605_1;GCA_963566505_1;GCF_900593145_1_Thailand;GCF_900594015_1_Thailand;GCF_900597015_1_Thailand;GCF_900597055_1_Thailand;GCF_900591575_1_Thailand;GCF_900594965_1_Thailand;GCA_963567895_1;GCA_963569425_1;GCF_900591795_1_Thailand;GCF_900596975_1_Thailand;GCF_900594905_1_Thailand	True
12	12	IP-0017;GCA_963563715_1;IP-0186;IP-0056;IP-0202;IP-0060;IP-0027;GCF_900591855_1_Thailand;GCA_963569935_1;GCA_963571795_1;GCF_900593285_1_Thailand;GCA_963562155_1	True
122	10	GCF_900597255_1_Thailand;GCF_900597215_1_Thailand;GCF_900597205_1_Thailand;GCF_900597265_1_Thailand;GCF_900597195_1_Thailand;GCF_900597225_1_Thailand;GCF_900597175_2_Thailand;GCF_900597245_1_Thailand;GCF_900597235_1_Thailand;GCF_900597275_1_Thailand	True
125	6	GCA_900598595_2;GCF_001327555_2_Thailand;GCF_900597555_1_Thailand;GCA_963571925_1;GCF_900598595_2_Thailand;GCA_001327555_2	True
126	13	GCF_030297235_1_not_applicable;GCF_001327235_2_Singapore;ERS012364;ERS012357;ERS012349;GCF_000152365_1_missing;GCF_001327315_1_Singapore;GCF_001209045_2_Malaysia;GCA_001209045_2;GCF_030297215_1_not_applicable;GCA_001327235_2;GCA_001327455_2;GCF_001327455_2_Malaysia	True
127	43	GCF_001978565_1_Australia_Northern_Territory;GCF_001978505_1_Australia_Northern_Territory;GCF_001978605_1_Australia_Northern_Territory;GCF_001445975_1_missing;GCF_001976905_1_Thailand_Ubon;GCF_001978325_1_Australia_Northern_Territory;GCF_001978865_1_Australia_Northern_Territory;GCF_001978405_1_Australia_Northern_Territory;GCF_001978485_1_Australia_Northern_Territory;GCF_001978935_1_Australia_Northern_Territory;GCF_001978905_1_Australia_Northern_Territory;GCF_001977955_1_Thailand_Ubon;GCF_001978525_1_Australia_Northern_Territory;GCF_002880835_1_Australia;GCF_002888155_1_Australia;GCF_001446005_1_missing;GCF_001978005_1_Thailand_Ubon;GCF_001978385_1_Australia_Northern_Territory;GCF_001978515_1_Australia_Northern_Territory;GCF_001978835_1_Australia_Northern_Territory;GCF_001978295_1_Australia_Northern_Territory;GCF_001978925_1_Australia_Northern_Territory;GCF_001978675_1_Australia_Northern_Territory;GCF_001978285_1_Australia_Northern_Territory;GCF_001445635_1_Thailand;GCF_002881055_1_Australia;GCF_001978445_1_Australia_Northern_Territory;GCF_001979015_1_Australia_Northern_Territory;GCF_001978345_1_Australia_Northern_Territory;GCF_001978265_1_Australia_Northern_Territory;GCF_001978875_1_Australia_Northern_Territory;GCF_001980565_1_Australia_Northern_Territory;GCF_001978245_1_Australia_Northern_Territory;GCF_001978415_1_Australia_Northern_Territory;GCF_001978725_1_Australia_Northern_Territory;GCF_001978825_1_Australia_Northern_Territory;GCF_001978705_1_Australia_Northern_Territory;GCF_001978665_1_Australia_Northern_Territory;GCF_001978615_1_Australia_Northern_Territory;GCF_000764575_1_Australia;GCF_001978585_1_Australia_Northern_Territory;GCF_001978965_1_Australia_Northern_Territory;GCF_001978455_1_Australia_Northern_Territory	True
128	40	GCF_900596875_1_Thailand;GCF_001976485_1_Thailand;GCA_963567075_1;GCF_900595455_1_Thailand;GCF_900594555_1_Thailand;GCF_900594705_1_Thailand;GCF_900594535_1_Thailand;GCF_900594475_1_Thailand;GCF_900596845_1_Thailand;GCF_900594545_1_Thailand;GCF_900593615_1_Thailand;GCF_900595425_1_Thailand;GCF_900596795_1_Thailand;GCF_900596765_2_Thailand;GCF_900594575_1_Thailand;GCF_002880985_1_Thailand;GCF_900596895_1_Thailand;GCF_900596835_1_Thailand;GCF_900595445_1_Thailand;GCF_900596775_1_Thailand;GCF_900596755_1_Thailand;GCF_900594585_1_Thailand;GCF_900594735_1_Thailand;GCA_900596765_2;GCF_900596855_2_Thailand;GCF_900596825_1_Thailand;GCA_900594675_2;GCF_900596885_1_Thailand;GCF_900594505_1_Thailand;GCF_900596745_1_Thailand;GCF_900596785_1_Thailand;GCA_900596855_2;GCA_963567085_1;GCF_900594525_1_Thailand;GCF_900594675_2_Thailand;GCF_900596905_1_Thailand;GCF_900593685_1_Thailand;GCF_900596935_1_Thailand;GCF_900596815_1_Thailand;GCF_900594465_1_Thailand	True
129	38	GCF_900598035_1_Thailand;GCF_900598055_1_Thailand;GCF_900595905_1_Thailand;GCA_900596595_2;GCF_900597605_1_Thailand;GCF_900596575_1_Thailand;GCF_900595865_1_Thailand;GCF_900595915_1_Thailand;GCF_900591695_1_Thailand;GCA_900597995_2;GCF_900596645_1_Thailand;GCF_900591375_1_Thailand;GCF_900597985_1_Thailand;GCF_900596665_1_Thailand;GCF_900597975_1_Thailand;GCF_900595955_1_Thailand;GCF_900597625_1_Thailand;GCF_900597595_1_Thailand;GCF_900597655_1_Thailand;GCF_900595945_1_Thailand;GCF_900596615_1_Thailand;GCF_900598025_1_Thailand;GCF_900598065_1_Thailand;GCF_900595885_1_Thailand;GCF_900598005_1_Thailand;GCF_900596595_2_Thailand;GCF_900598045_1_Thailand;GCF_900595995_1_Thailand;GCA_900595895_2;GCF_900596635_1_Thailand;GCF_900597635_1_Thailand;GCF_900595925_1_Thailand;GCF_900597615_1_Thailand;GCF_900595895_2_Thailand;GCF_900595935_1_Thailand;GCF_900598015_1_Thailand;GCF_003798245_1_Unknown;GCF_900597995_2_Thailand	True
13	14	IE-0010;IE-0021;GCA_963562795_1;IE-0017;ERS013365;GCA_963564325_1;SRR12527885_contigs;GCA_963561655_1;GCA_963565635_1;GCA_963570865_1;GCF_900593315_1_Thailand;GCF_900592785_1_Thailand;GCA_963568015_1;GCA_963561145_1	True
130	33	GCF_001979595_1_Australia_Northern_Territory;GCF_001979835_1_Australia_Northern_Territory;GCF_001979885_1_Australia_Northern_Territory;GCF_002843645_1_Australia_Northern_Territory;GCF_001979585_1_Australia_Northern_Territory;GCF_001979335_1_Australia_Northern_Territory;GCF_026315045_1_Australia_Northern_Territory;GCF_001979505_1_Australia_Northern_Territory;GCF_026315025_1_Australia_Northern_Territory;GCF_000347975_1_Australia_Northern_Territory;GCF_001979285_1_Australia_Northern_Territory;GCF_000152325_1_missing;GCF_001979745_1_Australia_Northern_Territory;GCF_001980335_1_Australia_Northern_Territory;GCF_001979565_1_Australia_Northern_Territory;GCF_001979245_1_Australia_Northern_Territory;GCF_001979255_1_Australia_Northern_Territory;GCF_001979865_1_Australia_Northern_Territory;GCF_001979695_1_Australia_Northern_Territory;GCF_002880955_1_Australia;GCF_001979345_1_unknown;GCF_001979675_1_Australia_Northern_Territory;GCF_001979645_1_Australia_Northern_Territory;GCF_001979615_1_Australia_Northern_Territory;GCF_001979215_1_Australia_Northern_Territory;GCF_001979725_1_Australia_Northern_Territory;GCF_001979755_1_Australia_Northern_Territory;GCF_001979175_1_Australia_Northern_Territory;GCF_026315005_1_Australia_Northern_Territory;GCF_001979665_1_Australia_Northern_Territory;GCF_001979815_1_Australia_Northern_Territory;GCF_000756165_1_unknown;GCF_001980365_1_Australia_Northern_Territory	True
131	23	GCF_001977865_1_Thailand_Ubon;GCF_009904295_1_Thailand_Ubon;GCF_002888365_1_Thailand;GCF_900595195_2_Thailand;GCF_001977045_1_Thailand_Ubon;GCF_009904215_1_Thailand_Ubon;GCF_009904165_1_Thailand_Ubon;GCF_009904265_1_Thailand_Ubon;GCA_900595195_2;GCF_001977805_1_Thailand_Ubon;GCF_001977135_1_Thailand_Ubon;GCF_001977825_1_Thailand_Ubon;GCF_009904175_1_Thailand_Ubon;GCF_009904255_1_Thailand_Ubon;GCF_001977015_1_Thailand_Ubon;GCF_001977885_1_Thailand_Ubon;GCF_001446125_1_missing;GCF_001977055_1_Thailand_Ubon;GCF_900596915_1_Thailand;GCF_900593905_1_Thailand;GCF_018139505_1_Thailand_Ubon;GCF_009904185_1_Thailand_Ubon;GCF_900596865_1_Thailand	True
132	17	GCF_900598385_2_Thailand;GCF_900596165_1_Thailand;GCF_900598445_1_Thailand;GCF_900598455_1_Thailand;GCF_900598475_1_Thailand;GCF_900593735_1_Thailand;GCF_900598485_1_Thailand;GCF_900596285_1_Thailand;GCF_900598435_1_Thailand;GCF_900598425_1_Thailand;GCA_963565695_1;GCF_900596225_1_Thailand;GCF_900598465_1_Thailand;GCF_900598405_1_Thailand;GCA_900598385_2;GCF_900591845_1_Thailand;GCF_900598415_1_Thailand	True
133	14	GCF_001978745_1_Australia_Northern_Territory;GCF_001978785_1_Australia_Northern_Territory;GCF_002888055_1_Australia;GCF_001978765_1_Australia_Northern_Territory;GCF_001979905_1_Australia_Northern_Territory;GCF_001979975_1_Australia_Northern_Territory;GCF_000520895_1_Australia;GCF_000511915_1_Australia;GCF_001978795_1_Australia_Northern_Territory;GCF_001445985_1_missing;GCF_001979945_1_Australia_Northern_Territory;GCF_000521645_1_Australia;GCF_001978365_1_Australia_Northern_Territory;GCF_002888045_1_Australia	True
